year,hour,SHIFT,OFFENSE,Report_Date,year
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-22 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-23 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-24 00:00:00,2016
2016-01-01,11,DAY,SEX ABUSE,2016-04-24 11:19:00,2016
2016-01-01,14,DAY,SEX ABUSE,2016-04-25 14:41:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-26 00:00:00,2016
2016-01-01,23,MIDNIGHT,SEX ABUSE,2016-04-27 23:29:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-04-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-03 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-03 00:00:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-05-07 15:09:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-08 00:00:00,2016
2016-01-01,6,MIDNIGHT,SEX ABUSE,2016-05-08 06:25:00,2016
2016-01-01,12,DAY,SEX ABUSE,2016-05-08 12:16:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-10 00:00:00,2016
2016-01-01,16,EVENING,SEX ABUSE,2016-05-10 16:47:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-11 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-12 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-14 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-16 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-17 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-18 00:00:00,2016
2016-01-01,17,EVENING,SEX ABUSE,2016-05-18 17:42:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-19 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-23 00:00:00,2016
2016-01-01,5,MIDNIGHT,SEX ABUSE,2016-05-24 05:57:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-05-25 00:45:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-26 00:00:00,2016
2016-01-01,1,MIDNIGHT,SEX ABUSE,2016-05-26 01:36:00,2016
2016-01-01,10,DAY,SEX ABUSE,2016-05-27 10:50:00,2016
2016-01-01,15,EVENING,SEX ABUSE,2016-05-27 15:55:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-29 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,HOMICIDE,2016-05-30 00:00:00,2016
2016-01-01,0,MIDNIGHT,SEX ABUSE,2016-05-31 00:32:00,2016
