,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
1416162,22970,11/20/2016 07:43:00 AM,HOMICIDE,2016,AM,2016-11-20 07:43:00,7
1416163,22969,11/20/2016 04:11:00 AM,HOMICIDE,2016,AM,2016-11-20 04:11:00,4
1416265,10763105,11/18/2016 11:00:00 PM,SEX OFFENSE,2016,PM,2016-11-18 23:00:00,23
1416595,10760556,11/21/2016 10:30:00 AM,SEX OFFENSE,2016,AM,2016-11-21 10:30:00,10
1416942,22972,11/21/2016 02:31:00 PM,HOMICIDE,2016,PM,2016-11-21 14:31:00,14
1416943,22973,11/21/2016 08:06:00 PM,HOMICIDE,2016,PM,2016-11-21 20:06:00,20
1417056,10760934,11/22/2016 03:30:00 AM,SEX OFFENSE,2016,AM,2016-11-22 03:30:00,3
1417119,10761154,11/22/2016 09:52:00 AM,SEX OFFENSE,2016,AM,2016-11-22 09:52:00,9
1417585,10763247,11/22/2016 12:00:00 PM,SEX OFFENSE,2016,PM,2016-11-22 12:00:00,12
1417639,22974,11/22/2016 06:08:00 PM,HOMICIDE,2016,PM,2016-11-22 18:08:00,18
1417679,10722551,10/20/2016 01:00:00 AM,SEX OFFENSE,2016,AM,2016-10-20 01:00:00,1
1417805,10762447,11/23/2016 01:00:00 PM,SEX OFFENSE,2016,PM,2016-11-23 13:00:00,13
1418269,22975,11/23/2016 02:53:00 AM,HOMICIDE,2016,AM,2016-11-23 02:53:00,2
1418270,22989,02/10/2016 05:30:00 PM,HOMICIDE,2016,PM,2016-02-10 17:30:00,17
1418784,10763495,11/24/2016 09:30:00 PM,SEX OFFENSE,2016,PM,2016-11-24 21:30:00,21
1418954,10767743,11/01/2016 08:00:00 AM,SEX OFFENSE,2016,AM,2016-11-01 08:00:00,8
1419631,22976,11/25/2016 12:44:00 AM,HOMICIDE,2016,AM,2016-11-25 00:44:00,0
1419632,22977,11/25/2016 04:40:00 PM,HOMICIDE,2016,PM,2016-11-25 16:40:00,16
1419633,22978,11/25/2016 07:32:00 PM,HOMICIDE,2016,PM,2016-11-25 19:32:00,19
1419636,10764430,11/26/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-11-26 00:00:00,0
1420311,10772013,09/20/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-09-20 00:01:00,0
1420320,10772262,10/22/2016 03:00:00 AM,SEX OFFENSE,2016,AM,2016-10-22 03:00:00,3
